"黄埔区在册幼儿园名单一览表
28,广州市黄埔区南岗幼儿园,0112030005,集体办园,是,10,广州市黄埔区南岗路7号,是,823,82234789,82113092,,
29,广州市黄埔区黄陂幼儿园,0112030006,集体办园,是,10,广州市黄埔区广汕路氹北街5号,是,823,37272655,82113092,,
30,广州市黄埔长洲幼儿园,0112030007,集体办园,是,6,广州市黄埔区长洲街永耀坊直街1号,是,823,82202932,82113092,,
31,广州市黄埔区夏园幼儿园,0112030008,集体办园,是,8,广州市黄埔区穗东街夏园学校路11号,是,823,82210548,82113092,,
32,广州市黄埔深井幼儿园,0112030009,集体办园,是,3,广州市黄埔区深井中约上街1号,是,745,82565881,82113092,,
33,广州市黄埔区黄埔街怡园幼儿园,0112030010,集体办园,是,3,广州市黄埔区怡园东街30栋首层,是,823,82275777,82113092,,
34,广州市黄埔榕村幼儿园,0112030011,集体办园,是,7,广州市黄埔区云埔街榕华路6号,是,823,31604875,82113092,,
35,广东省电力幼儿园,0112040001,国有企业办园,是,8,广州市黄埔区黄埔东路3375号大院之一,是,995,61015808,82113092,,
36,广州市黄埔区文船幼儿园,0112040002,国有企业办园,是,14,广州市黄埔区红山街红山二路23号,是,995,82190869,82113092,,
37,广州黄埔造船厂幼儿园,0112040003,国有企业办园,是,15,广州市黄埔区长洲街黄船二街9号,是,995,82096517,82113092,,
38,广州市黄埔区岭头幼儿园,0112040004,国有企业办园,是,9,广州市黄埔区长岭街道长岭路61号,是,823,82259395,82113092,,
39,广州市黄埔区海虹幼儿园,0112040005,国有企业办园,是,7,广州市黄埔区长洲海虹路3号,是,823,82204869,82113092,,
40,广州开发区人才教育工作集团第一幼儿园,0112040006,国有企业办园,是,12,广州市黄埔区香雪大道西349号,是,823,82511583,82113092,,
41,广州开发区人才教育工作集团第二幼儿园（总园）,0112040007,国有企业办园,是,18,广州市黄埔区沐兰四街5号,是,823,31702795,82113092,,
42,广州开发区人才教育工作集团第二幼儿园（北园区）,0112040007,国有企业办园,是,15,广州市黄埔区萝岗街道开创大道以南、新阳东路以北地段,是,823,18988842863,82113092,,
43,广州开发区人才教育工作集团云曜幼儿园,0112040008,国有企业办园,是,18,广州市黄埔区云埔街道云峰原著云曜一街4号,是,823,82002123,82113092,,
44,广州开发区人才教育工作集团瑚璟幼儿园,0112040009,国有企业办园,是,10,广州市黄埔区龙湖街瑚璟一街10号,是,823,36990934,82113092,,
45,广州开发区人才教育工作集团盛凯幼儿园（中心园区）,0112040010,国有企业办园,是,10,广州市黄埔区盛凯一街1号,是,823,34872854,82113092,,
46,广州开发区人才教育工作集团盛凯幼儿园（中南园区）,0112040010,国有企业办园,是,20,"广州市黄埔区笔村中南大街富力悦禧花园2街6号
",是,995,32288138,82113092,,
47,广州开发区人才教育工作集团美誉幼儿园,0112040011,国有企业办园,是,20,广州市黄埔区中新广州知识城美誉二街1号,是,823,89850234,82113092,,
48,广州市黄埔区广钢华标幼儿园,0112040012,国有企业办园,是,12,广州市黄埔区御境大街1号,是,823,82519425,82113092,,
49,广州市黄埔区广钢科城山庄幼儿园,0112040013,国有企业办园,是,12,广州市黄埔区峻泰路1号,是,823,31704542,82113092,,
50,广州市黄埔区广钢雍景湾幼儿园,0112040014,国有企业办园,是,14,广州市黄埔区中新知识城雍德南二街2号,是,823,31709481,82113092,,
51,广州市黄埔区广钢和苑幼儿园,0112040015,国有企业办园,是,20,广州市黄埔区萝穗南二街二号,是,823,31608607,82113092,,
52,广州市黄埔区广钢和苑第二幼儿园,0112040016,国有企业办园,是,18,广州市黄埔区和苑小区萝悦南三街2号,是,823,82077105,82113092,,
53,广州市华南师大教育黄埔区华贝幼儿园,0112040017,国有企业办园,是,26,广州市黄埔区石化路166号大院内,是,995,32013985,82113092,,
54,广州开发区人才教育工作集团创新幼儿园,0112040018,国有企业办园,是,9,广州市黄埔区幸福悦东一街2号,是,823,62838868,82113092,,
55,广州开发区人才教育工作集团新东幼儿园,0112040019,国有企业办园,是,12,广州市黄埔区榕悦三街2号,是,823,32060106,82113092,,
56,广州开发区人才教育工作集团凤语幼儿园,0112040020,国有企业办园,是,9,广州市黄埔区绿地凤语湾凤语街 41号,是,823,31800107,82113092,,
57,广州开发区人才教育工作集团永顺幼儿园,0112040021,国有企业办园,是,18,广州市黄埔区逸璟环街2号,是,823,82879901,82113092,,
58,广州开发区人才教育工作集团禾岭幼儿园（北园区）,0112040022,国有企业办园,是,12,广州市黄埔区禾岭路和禾丰二路交界处,是,823,32144134,82113092,,
59,广州开发区人才人才教育工作集团禾岭幼儿园（东园区）,0112040022,国有企业办园,是,20,广州市黄埔区永和街新丰路与红旗路交界处,是,823,18127959596,82113092,,
60,广州市华南师大教育黄埔区华弘幼儿园,0112040023,国有企业办园,是,12,广州市黄埔区丰乐北路128号之九,是,823,31709684,82113092,,
61,广州市黄埔区启航幼儿园,0112040024,国有企业办园,是,9,广州市黄埔区康大龙祥汇小区汤兴二路227号,是,823,31600335,82113092,,
62,广州市达康经济发展有限公司幼儿园,0112040025,国有企业办园,是,4,广州市黄埔区广本路一号,是,600,15902040501,82113092,,
63,广州开发区人才教育工作集团大沙北幼儿园（埔东园区）,0112040026,国有企业办园,是,4,广州市黄埔街道黄埔东路489号大院21号,是,823,89853686,82113092,,
64,广州开发区人才教育工作集团大沙北幼儿园（中心园区）,0112040026,国有企业办园,是,9,广州市黄埔区丰乐北路泰景花园泰景中街91号,是,823,82389883,82113092,,
65,广州开发区人才教育工作集团荔红幼儿园（中心园区）,0112040027,国有企业办园,是,15,广州市黄埔区开创大道星樾西一街2号,是,823,31800792,82113092,,
66,广州开发区人才教育工作集团荔红幼儿园（南园区）,0112040027,国有企业办园,是,18,广州市黄埔区萝岗街道星樾下街3号,是,823,82002810,82113092,,
67,广州开发区人才教育工作集团荔红幼儿园（培玉园区）,0112040027,国有企业办园,是,9,广州市黄埔区长泰路培山街3号,是,823,32028687,82113092,,
68,广州开发区人才教育工作集团长岭幼儿园（中心园区）,0112040028,国有企业办园,是,6,广州开发区长岭路地块编号YH-A3-2（A）,是,823,19120099041,82113092,,
69,广州开发区人才教育工作集团长岭幼儿园（广华园区）,0112040028,国有企业办园,是,18,广州市黄埔区九龙大道红卫村时代印记小区A28栋印记北一街1号,是,823,19573615536,82113092,,
70,广州开发区人才教育工作集团天虹幼儿园（中心园区）,0112040029,国有企业办园,是,3,广州市黄埔区天虹街34号,是,823,13326432486,82113092,,
71,广州开发区人才教育工作集团天虹幼儿园（荔香园区）,0112040029,国有企业办园,是,2,广州市黄埔区荔香路41号大院17号首层,是,823,19195536197,82113092,,
72,广州开发区人才教育工作集团天虹幼儿园（镇东园区）,0112040029,国有企业办园,是,8,广州市黄埔区三多路159号,是,823,19195538573,82113092,,
73,广州开发区人才教育工作集团天虹幼儿园（玉源园区）,0112040029,国有企业办园,是,16,广州市黄埔区开源大道以北玉岩路以西,是,823,18022323548,82113092,,
74,广州开发区人才教育工作集团新知幼儿园（中心园区）,0112040030,国有企业办园,是,11,广州市黄埔区创新大道与知识大道辅路交叉口东南260米,是,823,19128987840,82113092,,
75,广州开发区人才教育工作集团新知幼儿园（开源园区）,0112040030,国有企业办园,是,12,广州市黄埔区杉禾田一街2号,是,823,18620889080,82113092,,
76,广州开发区人才教育工作集团新知幼儿园（平安园区）,0112040030,国有企业办园,是,18,广州市黄埔区新龙镇尚景大街4号,是,823,66811993,82113092,,
77,广州开发区人才教育工作集团新知幼儿园（腾龙园区）,0112040030,国有企业办园,是,10,广州市黄埔区中心知识城南凯德中新里花园小区四街4号,是,823,19120093235,82113092,,
78,广州开发区人才教育工作集团知贤幼儿园（中心园区）,0112040031,国有企业办园,是,18,广州市黄埔区鱼珠街道知贤大街1号,是,823,19128283118,82113092,,
79,广州开发区人才教育工作集团知贤幼儿园（校前园区）,0112040031,国有企业办园,是,20,"广州市黄埔区沙步社区校前路28号
",是,823,19806475792,82113092,,
80,广州开发区人才教育工作集团知贤幼儿园（宏明园区）,0112040031,国有企业办园,是,14,广州市黄埔区云埔街笔村广园快速路以南、东鹏大道以西,是,823,19128287918,82113092,,
81,广州开发区人才教育工作集团知贤幼儿园（荔源园区）,0112040031,国有企业办园,是,18,广州市黄埔区云埔街道韶兰街2号,是,823,19878881563,82113092,,
82,广州开发区人才教育工作集团知贤幼儿园（燕山园区）,0112040031,国有企业办园,是,9,广州市黄埔区长岭街道星畔大街11号,是,823,19128282127,82113092,,
83,广州开发区人才教育工作集团知贤幼儿园（瑞和园区）,0112040031,国有企业办园,是,15,广州市黄埔区兰翠南环街 20 号,是,823,18023488090、82038286,82113092,,
84,广州开发区人才教育工作集团岗南幼儿园,0112040032,国有企业办园,是,9,广州市黄埔区鱼珠街道茅岗环村大街13号,是,823,18922389252,82113092,,
85,广州开发区人才教育工作集团景西幼儿园（中心园区）,0112040033,国有企业办园,是,9,广州市黄埔区永顺大道62号,是,823,15323350440,82113092,,
86,广州开发区人才教育工作集团景西幼儿园（永新园区）,0112040033,国有企业办园,是,12,广州市黄埔区长岭居长岭路以北岭头新村以东,是,823,32039324,82113092,,
87,广州开发区人才教育工作集团港前幼儿园,0112040042,国有企业办园,是,3,广州市黄埔区丰乐南路28号悦涛雅苑小区内,是,823,82489160,82113092,,
88,广州开发区人才教育工作集团金峰幼儿园,0112040034,国有企业办园,是,6,广州市黄埔区开创大道万科城尚山一街1号,是,823,13422035899,82113092,,
89,广州市黄埔区文碧幼儿园,0112040035,国有企业办园,是,7,广州市黄埔区中山大道东金碧世纪花园北3街4号,是,995,31703570,82113092,,
90,广州开发区人才教育工作集团广新幼儿园,0112040036,国有企业办园,是,16,广州市黄埔区石化路与广新路交界处西北角,是,823,82518165,82113092,,
91,广州开发区人才教育工作集团联华幼儿园,0112040037,国有企业办园,是,13,广州黄埔区联华街黄陂新村东二街以北,是,823,81098300,82113092,,
92,华南师范大学附属黄埔实验学校幼儿园,0112040038,国有企业办园,是,18,黄埔区开台大道以北科丰路以西,是,823,82510291,82113092,,
93,广州市黄埔区文沙幼儿园,0112040043,国有企业办园,是,6,广州市黄埔区大沙地东599号大院—39号,是,823,61013608,82113092,,
94,广州市黄埔区文乐幼儿园,0112040044,国有企业办园,是,9,广州市黄埔区丰乐南路438号,是,823,15920426577,82113092,,
95,广州市黄埔区文创幼儿园,0112040045,国有企业办园,是,4,广市黄埔区开创大道北保利林语山庄林语路2号,是,823,13058381632,82113092,,
96,广州开发区人才教育工作集团文东幼儿园,0112040039,国有企业办园,是,10,广州市黄埔区黄埔东路龙头路23号,是,823,13798121613,82113092,,
97,广州开发区人才教育工作集团文禧幼儿园,0112040040,国有企业办园,是,9,广州市黄埔区长岭街道岭兴路坦禧大街16号,是,823,13423482897,82113092,,
98,广州开发区人才教育工作集团文知幼儿园,0112040041,国有企业办园,是,20,广州市黄埔区龙湖街道知识三路,是,823,18933982629,82113092,,
99,广州市黄埔区格墩美幼儿园,144011260001108,普惠性民办园,是,6,广州市黄埔区开发大道451号,是,1300,66842520,82113092,,
100,广州市黄埔丰乐幼儿园,144011260000111,普惠性民办园,是,10,广州市黄埔区丰乐中路77号大院12栋,是,1300,82386987,82113092,,
101,广州市黄埔区蓝天实验幼儿园,144011260000411,普惠性民办园,是,9,广州市黄埔区红山三路150号1-5栋,是,1200,32080228,82113092,,
102,广州市黄埔横沙实验幼儿园,144011260000161,普惠性民办园,是,15,广州市黄埔区大沙街横沙社区环村路新街68号,是,1300,82376387,82113092,,
103,广州市黄埔岭南幼儿园,144011260000050,普惠性民办园,是,6,广州市黄埔区茅岗井爱新村企岭街南二巷31号,是,1300,82559203,82113092,,
104,广州市黄埔区爱特城瑞兴幼儿园,144011260000938,普惠性民办园,是,18,广州市黄埔区文宝街19号,是,1300,82505050,82113092,,
105,广州市黄埔区东荟加拿达幼儿园,1440112260000650,普惠性民办园,是,15,广州市黄埔区万荟二街65号,是,1300,82526073,82113092,,
106,广州市黄埔区金梦加拿达幼儿园,144011260000790,普惠性民办园,是,14,广州市黄埔区金梦环街72号,是,1300,82511867,82113092,,
107,广州市黄埔区科城心悦幼儿园,144011260000828,普惠性民办园,是,12,广州巿黄埔区峻泰路105号,是,1300,89855901,82113092,,
108,广州市黄埔区里享家幼儿园,144011260000868,普惠性民办园,是,18,广州市黄埔区永和街新业路21号,是,1300,32197582,82113092,,
109,广州市黄埔区岭南林语瑞兴幼儿园,144011260000928,普惠性民办园,是,14,广州市黄埔区林悦一街1号,是,1300,87369393,82113092,,
110,广州市黄埔区培恩幼儿园,144011260000548,普惠性民办园,是,18,广州市黄埔区永和街井泉一路4号,是,1300,32633975,82113092,,
111,广州市黄埔区泊语湾伟才幼儿园,144011260001008,普惠性民办园,是,9,广州市黄埔区中新知识城泊语街5号之一,是,1300,31700120,82113092,,
112,广州市黄埔区荣达春树里幼儿园,144011260000948,普惠性民办园,是,12,广州市黄埔区春树二街3号,是,1300,87831823,82113092,,
113,广州市黄埔区山景城加拿达幼儿园,144011260000918,普惠性民办园,是,18,广州市黄埔区瞰山大街12号,是,1300,89853919,82113092,,
114,广州市黄埔区新城幼儿园,144011260000621,普惠性民办园,是,9,广州市黄埔区白泥街88号,是,1300,82508233,82113092,,
115,广州市黄埔区新都荟实验幼儿园,144011260000888,普惠性民办园,是,14,广州市黄埔区南岗路笔岗街142号,是,1300,32037973,82113092,,
116,广州市黄埔区幸福誉伟才幼儿园,144011260000978,普惠性民办园,是,19,广州市黄埔区九龙大道福里街16号,是,1300,61870128,82113092,,
117,广州市黄埔区学府里加拿达幼儿园,144011260000878,普惠性民办园,是,9,广州市黄埔区鱼珠街道蟹山路48号奎文街1号,是,1300,31600050,82113092,,
118,广州市黄埔区珠江嘉园瑞兴幼儿园,144011260000838,普惠性民办园,是,10,广州市黄埔区永和街摇田河大街63号,是,1300,87777894,82113092,,
119,广州市黄埔雅苑海韵实验幼儿园,144011260000218,普惠性民办园,是,6,广州市黄埔区黄埔东路715号,是,1300,82377062,82113092,,
120,广州市黄埔鱼木实验幼儿园,144011260000021,普惠性民办园,是,6,广州市黄埔区鱼珠北街192号,是,1300,82490110,82113092,,
121,广州市黄埔鱼珠幼儿园,144011260000011,普惠性民办园,是,9,广州市黄埔区丰乐北路横路2号,是,1300,82514892,82113092,,
122,广州市黄埔区诺亚舟雅筑幼儿园,144011260000718,普惠性民办园,是,7,广州市黄埔区开源大道816号,是,1300,32038119,82113092,,
123,广州市黄埔区山畔新星幼儿园,144011260000800,普惠性民办园,是,12,广州市黄埔区开创大道科翔路口126号,是,1300,31707814,82113092,,
124,广州市黄埔区雅居乐佳兆业幼儿园,144011260000968,普惠性民办园,是,10,广州市黄埔区盛凯三街2号,是,1300,18924248058,82113092,,
125,广州市黄埔区童真联合幼儿园,144011260000398,普惠性民办园,是,12,广州市黄埔区联和街木棉新村59号,是,1300,87245591,82113092,,
126,广州市黄埔锦田幼儿园,144011260000041,普惠性民办园,是,4,广州市黄埔区茅岗路88号大院内19号,是,1300,89853741,82113092,,
127,广州市黄埔区国光幼儿园,144011260000768,普惠性民办园,是,6,广州市黄埔区茅岗村路自编32号,是,1000,82589291,82113092,,
128,广州市黄埔区红太阳幼儿园,144011260000501,普惠性民办园,是,16,广州市黄埔区萝岗街三级地62号,是,1300,13928932191,82113092,,
129,广州市黄埔区雅居乐中泰天境幼儿园,144011260001028,普惠性民办园,是,12,广州市黄埔区天境南路二街2号101,是,1300,13580492291,82113092,,
130,广州市黄埔区阳光宝贝幼儿园,144011260000448,普惠性民办园,是,6,广州市黄埔区九龙镇山龙村均秧地街八巷38号,是,1200,18665665996,82113092,,
131,广州市黄埔区昱星实验幼儿园,144011260000998,普惠性民办园,是,7,广州市黄埔区永和街永岗树吓新街1号,是,1300,32221728,82113092,,
132,广州市黄埔区雅居乐富春居幼儿园,144011260000770,普惠性民办园,是,15,广州市黄埔区广汕路华侨路17号雅居乐富春居悦榕路16号,是,1300,31604054,82113092,,
133,广州市黄埔区童话林幼儿园,144011260001048,普惠性民办园,是,6,广州市黄埔区红山街红山二路119号,是,1300,31601639,82113092,,
134,广州市黄埔区东区实验幼儿园,144011260001068,普惠性民办园,是,9,广州市黄埔区云埔街沧头村环村东街6号,是,980,18924251165,82113092,,
135,广州市黄埔区康贝世幼儿园,144011260001018,普惠性民办园,是,7,广州市黄埔区丰乐南路88号大院14号,是,1300,82000726/13312877498,82113092,,
136,广州市黄埔区沙元幼儿园,144011260001088,普惠性民办园,是,3,广州市黄埔区联达路6号3号楼101,是,1100,82266437,82113092,,
137,广州市黄埔黄金港湾幼儿园,144011260000098,非营利性民办园,否,20,广州市黄埔区港湾路西二街10号,是,成长班2500国际班4000,82292826,82113092,,
138,广州市黄埔区博雅幼儿园,144011260000538,非营利性民办园,否,10,广州市黄埔区永和街道新庄社区甘中经济社祥顺街38号,是,1450,18011878016,82113092,,
139,广州市黄埔区百高宏康幼儿园,144011260000631,非营利性民办园,否,12,广州市黄埔区春晖四街38号,是,1950,82090852,82113092,,
140,广州市黄埔区华源幼儿园,144011260000431,非营利性民办园,否,9,广州市黄埔区开创大道北颐心路一号,是,8000,82004022,82113092,,
141,广州市黄埔区小天使幼儿园,144011260000561,非营利性民办园,否,3,广州开发区丰夏一街11、13号首层,是,2000,82208632,82113092,,
142,广州市黄埔区德馨幼儿园,144011260001058,非营利性民办园,否,13,广州市黄埔区双井东路2号108号,是,1100,13926132337,82113092,,
143,广州市黄埔区云埔街东晖幼儿园,144011260001038,非营利性民办园,否,9,广州市黄埔区云埔街建益路13号,是,1200,82211619,82113092,,
144,广州市黄埔区伟佳幼儿园,144011260001078,非营利性民办园,否,5,广州市黄埔区广汕公路南黄陂路段146号,是,1000,23355823,82113092,,
145,广州市黄埔区康怡幼儿园,144011260001128,非营利性民办园,否,5,广州市黄埔区云埔街东鸿大街南康新村一街一号,是,1300,82000185,82113092,,
146,广州黄埔区南苑幼儿园有限公司,144011260000899,营利性民办园,否,8,广州市黄埔区黄埔东路2532号,是,2000,31706794,82113092,,
147,广州黄埔区童荟堡幼儿园有限公司,144011260000849,营利性民办园,否,6,广州市黄埔区庙头路7号,是,1500,13825051808,82113092,,
148,广州市和真幼儿园有限公司,144011260000739,营利性民办园,否,8,广州市黄埔区沧联二路自编二号之一,是,1600,18928798305,82113092,,
149,广州市黄埔区韶华幼儿园,144011260001039,营利性民办园,否,12,广州市黄埔区惠联路51号,是,12000,18922135246,82113092,,
150,广州市黄埔区中黄科学城幼儿园有限公司,144011260000999,营利性民办园,否,7,广州市黄埔区开泰大道601号125、227、315房,是,8800,82109901,82113092,,
151,广州奕佳幼儿园有限公司,144011260000859,营利性民办园,否,4,广州市黄埔区东晖广场沿河路奕佳街1号,是,"普通班：2800
国际班：4800",89856647,82113092,,
152,广州市拓赋森林幼儿园有限公司,144011260000959,营利性民办园,否,6,广州市黄埔区广汕四路16号,是,6000,82006901,82113092,"
",
153,广州市黄埔区布岭乐雅顿幼儿园有限公司,144011260001009,营利性民办园,否,12,广州市黄埔区永和街道禾丰布岭三街64号,是,2506,32168348,82113092,,
154,广州市黄埔区金色童年幼儿园有限公司,144011260001019,营利性民办园,否,14,广州市黄埔区萝岗荔红一路8号2栋,是,2200,89857836,82113092,,
155,蒙特梭利幼儿园（广州）有限公司,144011260001029,营利性民办园,否,12,广州市黄埔区开创大道北山香路2号168房218房318房,是,9600,18122796079,82113092,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
